Drug	Synonyms
Ubidecarenone Nanodispersion BPM31510n	Coenzyme Q10 Injectable Nanosuspension|Ubidecarenone Injectable Nanosuspension|Ubidecarenone Nanodispersion BPM31510n|BP31510|Ubiquinone Injectable Nanosuspension|
Paclitaxel Injection Concentrate for Nanodispersion	PICN|Paclitaxel Injection Concentrate for Nanodispersion|
Halofuginone Hydrobromide	RU 19110|HALOFUGINONE HYDROBROMIDE|Halofuginone hydrobromide|Tempostatin|Halofuginone Hydrobromide|halofuginone hydrobromide|Halofuginone IV (intravenous)|
Neratinib	HKI-272|HKI 272|(2E)-N-(4-((3-chloro-4-((pyridin-2-yl)methoxy)phenyl)amino)-3-cyano-7-ethoxyquinolin-6-yl)-4-(dimethylamino)but-2-enamide|PB-272|NERATINIB|PB 272|Neratinib|2-Butenamide, N-(4-((3-chloro-4-(2-pyridinylmethoxy)phenyl)amino)-3-cyano-7-ethoxy-6-quinolinyl)-4-(dimethylamino)-, (2E)-|
Vatalanib	PTK787/ZK 222584|VATALANIB|N-(4-Chlorophenyl)-4-(4-pyridinylmethyl)-1-phthalazinamine|CGP-79787|PTK787|CGP 79787|Vatalanib|ZK-232934|vatalanib|
Trastuzumab	Anti-erbB2 Monoclonal Antibody|Anti-p185-HER2|SB3|Trastuzumab Biosimilar ABP 980|Trastuzumab Biosimilar PF-05280014|Anti-ERB-2|Herceptin|Trastuzumab-dkst|PF-05280014|MoAb HER2|c-erb-2 Monoclonal Antibody|Trazimera|Anti-c-erbB2 Monoclonal Antibody|Trastuzumab Biosimilar ALT02|Herzuma|trastuzumab biosimilar EG12014|Anti-erbB-2|Trastuzumab-pkrb|Trastuzumab-anns|Ontruzant|Trastuzumab-qyyp|TRASTUZUMAB|Trastuzumab Biosimilar HLX02|Anti-HER2/c-erbB2 Monoclonal Antibody|Trastuzumab Biosimilar GB221|RO0452317|Trastuzumab-dttb|ABP 980|Monoclonal Antibody HER2|Monoclonal Antibody c-erb-2|Immunoglobulin G 1 (Human-Mouse Monoclonal RhuMab HER2gamma1-Chain Antihuman p185(Sup c-erbB2) Receptor), Disulfide with Human-Mouse Monoclonal RhuMab HER2 Light Chain, Dimer|rhuMAb HER2|trastuzumab|HER2 Monoclonal Antibody|Anti-c-ERB-2|Ogivri|Herceptin Biosimilar PF-05280014|Herceptin Trastuzumab Biosimilar PF-05280014|ALT02|Kanjinti|Trastuzumab Biosimilar SB3|Trastuzumab|
Letrozole	letrozole|CGS 20267|Femara|LETROZOLE|4,4'-(1H-1,2,4triazol-1-ylmethylene)dibenzonitrile|Letrozole|
DTRMWXHS-12/Everolimus/Pomalidomide Combination Agent DTRM-555	DTRMWXHS-12-Everolimus-Pomalidomide|DTRMWXHS-12/Everolimus/Pomalidomide Combination Agent DTRM-555|DTRM 555|DTRM-555|DTRMWXHS-12/Everolimus/Pomalidomide|DTRM555|
Erlotinib Hydrochloride	Erlotinib Hydrochloride|ERLOTINIB HYDROCHLORIDE|OSI-774|Tarceva|erlotinib hydrochloride|CP-358,774|N-(3-Ethynylphenyl)-6,7-bis(2-methoxyethoxy)-4-quinazolinamine Monohydrochloride|Cp-358,774|
Brigatinib	Brigatinib|AP26113|Alunbrig|5-Chloro-N4-[2-(dimethylphosphoryl)phenyl]-N2-{2-methoxy-4[4-(4-methylpiperazin-1-yl)piperidin-1-yl]phenyl}pyrimidine-2,4-diamine|AP-26113|BRIGATINIB|AP 26113|(2-((5-Chloro-2-((2-methoxy-4-(4-(4-methylpiperazin-1-yl)piperidin-1-yl)phenyl)amino)pyrimidin-4-yl)amino)phenyl)dimethyl-,delta5-phosphanone|
Gemcitabine	Difluorodeoxycytidine|dFdCyd|1-(2-Oxo-4-amino-1,2-dihydropyrimidin-1-yl)-2-deoxy-2,2-difluororibose|Gemcitabine|gemcitabine|2'Deoxy-2',2'-Difluorocytidine|GEMCITABINE|dFdC|
CDK Inhibitor R547	R547|RO-4584820|CDK Inhibitor R547|R-547|RO4584820|R 547|Cyclin-Dependent Kinase Inhibitor R547|RO 4584820|Cyclin Dependent Kinase Inhibitor R547|
Linifanib	LINIFANIB|multitargeted receptor tyrosine kinase inhibitor ABT-869|Linifanib|ABT-869|
Ipilimumab	BMS-734016|MDX-010|Ipilimumab|ipilimumab|Anti-Cytotoxic T-Lymphocyte-Associated Antigen-4 Monoclonal Antibody|MDX-CTLA4|IPILIMUMAB|Yervoy|
Genistein	5,7-Dihydroxy-3-(4-hydroxyphenyl)-4H-1-benzopyran-4-one|genistein|4',5,7-Trihydroxyisoflavone|Genistein|Genestein|4',5, 7-Trihydroxyisoflavone|GENISTEIN|Genisteol|Prunetol|
Methotrexate-Encapsulating Autologous Tumor-Derived Microparticles	Methotrexate-Encapsulating Autologous Tumor-Derived Microparticles|MTX-ATMP|
Ribociclib/Letrozole	Kisqali and Femara Co-pack|Ribociclib + Letrozole|Ribociclib Plus Letrozole|Ribociclib-Letrozole|Ribociclib and Letrozole Co-pack|Ribociclib/Letrozole|Ribociclib-Letrozole Regimen|Kisqali/Femara|
Niraparib Tosylate Monohydrate	2H-Indazole-7-carboxamide, 2-(4-(3S)-3-piperidinylphenyl)-, 4-Methylbenzenesulfonate, Hydrate (1:1:1)|NIRAPARIB TOSYLATE MONOHYDRATE|Niraparib Tosylate Monohydrate|Zejula|
Afatinib Dimaleate	Afatinib Dimaleate|BIBW 2992MA2|BIBW2992 MA2|(2E)-N-(4-((3-Chloro-4-fluorophenyl)amino)-7-(((3S)-tetrahydrofuran-3-yl)oxy)quinazolin- 6-yl)-4-(dimethylamino)but-2-enamide bis(hydrogen (2Z)-but-2-enedioate)|2-Butenamide, N-[4-[(3-chloro-4-fluorophenyl)amino]7-[[(3S)-tetrahydro-3-furanyl]oxy]-6-quinazolinyl]-4-(dimethylamino)-,(2E)-, (2Z)-2-Butenedioate (1:2)|AFATINIB DIMALEATE|Gilotrif|
IGF-methotrexate Conjugate	765IGF-MTX|IGF/MTX Conjugate|IGF/MTX|IGF-methotrexate Conjugate|
Ibrutinib	Imbruvica|CRA-032765|BTK Inhibitor PCI-32765|IBRUTINIB|PCI-32765|Ibrutinib|2-Propen-1-one, 1-((3R)-3-(4-amino-3-(4-phenoxyphenyl)-1h-pyrazolo(3,4-d)pyrimidin-1-yl)-1-piperidinyl)-|
Glycooptimized Trastuzumab-GEX	TrasGEX|Ant-HER2 Monoclonal Antibody GT-Mab 7.3-GEX|GT-Mab 7.3-GEX|Glycooptimized Trastuzumab-GEX|
Vinorelbine Tartrate	Vinorelbine Ditartrate|Vinorelbine Tartrate|vinorelbine tartrate|Biovelbin|KW-2307|VINORELBINE TARTRATE|NVB|Navelbine|Navelbine ditartrate|Eunades|Navelbine Ditartrate|
Saracatinib Difumarate	4-Quinazolinamine, N-(5-Chloro-1,3-Benzodioxol-4-yl)-7-(2-(4-Methyl-1-Piperazinyl)Ethoxy)-5-((Tetrahydro-2H-Pyran-4-yl)Oxy)-, (2e)-2-Butenedioate (1:2)|Saracatinib Difumarate|SARACATINIB DIFUMARATE|N-(5-Chloro-1,3-Benzodioxol-4-yl)-7-(2-(4-Methylpiperazin-1-yl)Ethoxy)-5-(Tetrahydro-2H-Pyran-4-yloxy)Quinazolin-4-Amine Di((2e)-but-2-Enedioate)|AZD-0530 Difumarate|AZD0530 Difumarate|
Belinostat	Beleodaq|PXD 101|belinostat|Belinostat|PXD101|BELINOSTAT|
Lenvatinib	E7080|LENVATINIB|ER-203492-00|Multi-Kinase Inhibitor E7080|6-Quinolinecarboxamide, 4-[3-chloro-4-[[(cyclopropylamino)carbonyl]amino]phenoxy]- 7-methoxy-|Lenvatinib|
Curcumin	Turmeric Yellow|(E,E)-1,7-Bis(4-hydroxy-3-methoxyphenyl)-1,6-heptadiene-3,5-dione|CURCUMIN|C.I. 75300|Diferuloylmethane|C.I. Natural Yellow 3|Curcumin|curcumin|
Topical Gemcitabine Hydrochloride	Topical Gemcitabine Hydrochloride|
Alisertib	Aurora A Kinase Inhibitor MLN8237|Alisertib|Benzoic Acid, 4-((9-Chloro-7-(2-Fluoro-6-Methoxyphenyl)-5H-Pyrimido(5,4-d)(2)Benzazepin-2-yl)Amino)-2-Methoxy-|MLN8237|ALISERTIB|MLN-8237|
Paclitaxel Liposome	LEP-ETU|LipoTaxen|Liposome-Encapsulated Paclitaxel|Paclitaxel Liposome|liposomal paclitaxel|PNU-93914|paclitaxel liposome|
Motesanib Diphosphate	MOTESANIB DIPHOSPHATE|3-Pyridinecarboxamide, N-(2,3-dihydro-3,3-dimethyl-1H-indol-6-yl)-2-((4-pyridinylmethyl)amino)-, phosphate (1:2)|Motesanib Diphosphate|AMG 706|
Deuterated Enzalutamide	D3-ENT|HC 1119|HC1119|Deuterated Enzalutamide|HC-1119|N-trideuteromethyl Enzalutamide|Enzalutamide Deuterated|
Raloxifene Hydrochloride	Raloxifene HCl|Keoxifene Hydrochloride|(6-Hydroxy-2-(4-hydroxyphenyl)benzo(b)thien-3-yl)(4-(2-(1-piperidinyl)ethoxy)phenyl)methanone Hydrochloride|Evista|RALOXIFENE HYDROCHLORIDE|Optruma|Raloxifene Hydrochloride|LY-156758|Raloxifene hydrochloride|Raloxifene.HCl|raloxifene hydrochloride|
Celecoxib	Benzenesulfonamide, 4-[5-(4-methylphenyl)-3-(trifluoromethyl)-1H-pyrazol-1-yl]-|Celebrex|4-(5-(4-methylphenyl)-3-(trifluoromethyl)-1H-pyrazol-1-yl)benzenesulfonamide|celecoxib|SC-58635|Celecoxib|CELECOXIB|YM 177|
Atrasentan Hydrochloride	Xinlay|(+)-A 127722|ABT-627|(2R,3R,4S)-4-(1,3-Benzodioxo-5-yl)-1-(2-(dibutylamino)-2-oxoethyl)-2-(4-methoxyphenyl)-3-pyrrolidinecarboxylic Acid Monohydrochloride|Atrasentan Hydrochloride|ATRASENTAN HYDROCHLORIDE|
Retaspimycin	RETASPIMYCIN|Geldanamycin, 18,21-didehydro-17-demethoxy-18,21-dideoxo-18,21-dihydroxy-17-(2-propenylamino)-|17-Allylamino-17-demethoxygeldanamycin Hydroquinone|Retaspimycin|
MEK Inhibitor TAK-733	TAK-733|MEK Inhibitor TAK-733|
Autologous Rapamycin-resistant Th1/Tc1 Cells RAPA-201	RAPA-201|RAPA201|Autologous Rapamycin-resistant Th1/Tc1 Cells RAPA-201|RAPA 201|
Encapsulated Rapamycin	Encapsulated Rapamycin|Encapsulated Sirolimus|eRapa (TM)|Microencapsulated Rapamycin|
Irinotecan	Irinotecan|7-ethyl-10-[4-(1-piperidino)-1-piperidino]carbonyloxycamptothecin|[1,4'-bipiperidine]-1'-carboxylic acid (S)-4,11-diethyl-3,4,12,14-tetrahydro-4-hydroxy-3,14-dioxo-1H-pyrano[3',4':6,7]indolizino[1,2-b]quinolin-9-yl ester|irinotecan|(+)-7-ethyl-10-hydroxycamptothecine 10-[1,4'-bipiperidine]-1'-carboxylate|(+)-(4S)-4,11-diethyl-4-hydroxy-9-[(4-piperidino-piperidino)carbonyloxy]-1H-pyrano[3',4':6,7]indolizino[1,2-b]quinol-3,14,(4H,12H)-dione|IRINOTECAN|
Mivavotinib	syk Inhibitor TAK-659|Mivavotinib|TAK659|Spleen Tyrosine Kinase Inhibitor TAK-659|TAK-659|syk Inhibitor TAK659|Spleen Tyrosine Kinase Inhibitor TAK659|3H-Pyrrolo(3,4-C)pyridin-3-one, 6-(((1R,2S)-2-aminocyclohexyl)amino)-7-fluoro-1,2-dihydro-4-(1-methyl-1H-pyrazol-4-yl)-|MIVAVOTINIB|syk-Inhibitor TAK-659|syk-Inhibitor TAK659|
Trastuzumab Conjugate BI-CON-02	Trastuzumab Conjugate BI-CON-02|BI-CON-02|
Lorlatinib	Lorlatinib|Lorbrena|2H-4,8-Methenopyrazolo(4,3-H)(2,5,11)benzoxadiazacyclotetradecine-3-carbonitrile, 7-amino-12-fluoro-10,15,16,17-tetrahydro-2,10,16-trimethyl-15-oxo-, (10R)-|LORLATINIB|7-Amino-12-fluoro-2,10,16-trimethyl-15-oxo-10,15,16,17-tetrahydro-2H-8,4-(metheno)pyrazolo(4,3-h)(2,5,11)benzoxadiazacyclotetradecine-3-carbonitrile|PF-06463922|
Seliciclib	Seliciclib|R-roscovitine|CYC202|SELICICLIB|
Trametinib Dimethyl Sulfoxide	Trametinib Dimethyl Sulfoxide|TRAMETINIB DIMETHYL SULFOXIDE|
MEK 1/2 Inhibitor FCN-159	FCN-159|MEK Inhibitor FCN-159|FCN159|FCN 159|MEK 1/2 Inhibitor FCN-159|
Neratinib Maleate	2-Butenamide, N-(4-((3-chloro-4-(2-pyridinylmethoxy)phenyl)amino)-3-cyano-7-ethoxy-6-quinolinyl)-4-(dimethylamino)-, (2E)-, (2Z)-2-butenedioate (1:1)|NERATINIB MALEATE|HKI-272 Maleate|Nerlynx|Neratinib Maleate|
Vinorelbine	vinorelbine|Dihydroxydeoxynorvinkaleukoblastine|VINORELBINE|5'-Nor-Anhydrovinblastine|3',4'-Didehydro-4'-deoxy-C'-norvincaleukoblastine|nor-5'-Anhydrovinblastine|Vinorelbine|
Saracatinib	AZD0530|SARACATINIB|N-(5-Chloro-1,3-Benzodioxol-4-Yl)-7-(2-(4-Methylpiperazin-1-yl)Ethoxy)-5-((Oxan-4-yl)Oxy)Quinazolin-4-Amine|4-Quinazolinamine, N-(5-chloro-1,3-benzodioxol-4-yl)-7-[2-(4-methyl-1-piperazinyl)ethoxy]-5-[(tetrahydro-2H-pyran-4-yl)oxy]-|SRC Kinase Inhibitor AZD0530|Saracatinib|
Larotrectinib Sulfate	LAROTRECTINIB SULFATE|LOXO-101 Sulfate|Vitrakvi|(3S)-N-[5-[(2R)-2-(2,5-difluorophenyl)pyrrolidin-1-yl]pyrazolo[1,5-a]pyrimidin-3-yl]-3-hydroxypyrrolidine-1-carboxamide;sulfuric acid|ARRY 470 Sulfate|1-Pyrrolidinecarboxamide, N-(5-((2R)-2-(2,5-Difluorophenyl)-1-pyrrolidinyl)pyrazolo(1,5-a)pyrimidin-3-yl)-3-hydroxy-, (3S)-, Sulfate (1:1)|LOXO 101 Sulfate|Larotrectinib Sulfate|
